,date,vault_address,vault_name,market_uniqueKey,vault_supplyUsd
164,2025-06-26,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
163,2025-06-27,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
162,2025-06-28,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
161,2025-06-29,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
160,2025-06-30,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
159,2025-07-01,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
158,2025-07-02,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
157,2025-07-03,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
156,2025-07-04,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
155,2025-07-05,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
154,2025-07-06,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
153,2025-07-07,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
152,2025-07-08,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
151,2025-07-09,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
150,2025-07-10,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
149,2025-07-11,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
148,2025-07-12,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
147,2025-07-13,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
146,2025-07-14,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
145,2025-07-15,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
144,2025-07-16,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
143,2025-07-17,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
142,2025-07-18,0xbdbf0494af9826ba25bcb810e23c36bc6d8378fa,Dream Charity Vault,0xe31af163f7ea13aa0d7719f3d865a8795a7973d9ff54ff418431718ad16f5c2d,0.0
